Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q27,Q28,Q29,Q30,Q31
64,Femenino,38,Medico,Tangamanga,10,Vialidad,10,Baches:Banquetas:Pasos de cebra:Pasos a nivel:,10,No,Inseguridad,Seguridad,12,ok
65,Femenino,45,estudiante,del valle,8,iluminacion,9,Iluminación:Baches:,10,No,el trafico,seguridad,4,ok
66,Femenino,34,ama de casa,benigno arriaga,0,vigilancia mutua entre ciudadanos ,9,Iluminación:Rejas de alcantarillado:,9,No,"por la inseguridad y la vialidad,no hay respeto a las señales",mayor vihilancia en cuanto a elementos de seguridad publica,2,ok
67,Femenino,46,medico,san leonel,10,iluminado en la noche,10,Iluminación:Baches:Pasos de cebra:,10,No,inseguridad,seguridad,2,ok
68,Femenino,45,contadora,tangamanga ,7,mas seguridad,10,Iluminación:Baches:Otros:,10,No,"inseguridad, transito, agresion del trafico ","todo, seguridad",6,ok
69,Masculino,21,estudiante,tequis,0,camaras de seguridad,10,Baches:,5,Si,por la   cercania,seguridad,50,ok
70,Femenino,47,Docente,Jardines del estadio,8,Mas patrullaje ,7,Iluminación:Pasos de cebra:,8,Si,Ahorraria mucho tiempo,Vigilancia,2,ok
71,Masculino,60,contador,mision de loreto,7,que no hubiera gente mala,10,Iluminación:Baches:Banquetas:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:Otros:,10,No,"inseguridad, trafico ", vigilancia que realmente hagan algo ,4,ok
72,Masculino,41,imss,Damian Carmona,7,"semaforos que funciones, tránsitos",10,Baches:Banquetas:Otros:,9,No,inseguridad,llevarlos yo,2,ok
73,Femenino,42,contador,industrial aviacion,8,nada,10,Baches:Áreas de esparcimiento público:Otros:,10,No,no es  correcto por la edad,ser mayor,3,ok
74,Masculino,45,medico cirujano,san leonel,7,que sincronizaran los semaforo,8,Baches:Banquetas:Otros:,10,No,eso lo hacia yo hace 30 años,seguridad,6,ok
75,Femenino,39,Comerciante,Antonio Plaza,6,Mayor vigilancia para los niños,9,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:,8,No,Inseguridad,Mayor vigilancia y seguridad,4,ok
76,Masculino,31,Medico,Fidel,7,Orden,9,Baches:Banquetas:Pasos de cebra:,10,Si,Fluidez,Acompañante,5,ok
78,Masculino,50,licenciado en electronica,alborada,5,vigilancia,8,Iluminación:,10,No,insegurudad,seguridad,2,ok
79,Masculino,60,Administrador,Industrial Aviacion,3,Educacion del hogar,10,Baches:Áreas Verdes:,10,Si,Es mas facil,mayor seguridad,3,ok
80,Femenino,46,"Psicologa, empleada de gobierno",Hacienda los morales,4,"Mas patrullas, mas alumbrado, menos terrenos valdios",8,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:,8,No,no hay seguridad,Mas seguridad,7,ok
81,Femenino,42,maestra en salud publica,villas del pedregal,8,mas luz ,10,Iluminación:Banquetas:Otros:,10,No,por la distancia ,transporte ,2,ok
82,Masculino,72,doctor,miguel barragan,2,mas policia,10,Baches:Banquetas:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:,5,Si,por la  cercania,por la inseguridad,8,ok
83,Masculino,44,abogado,andes,10,iluminavion ,10,Iluminación:Baches:Banquetas:Otros:,10,No,lejos,transporte ecolar,2,ok
84,Masculino,56,Taxista,Palmar,10,Nada,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:,8,No,Inseguridad por externos,Larga distancia,15,ok
85,Masculino,43,Electronico,Tequis,6,Los representantes ,7,Baches:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:,8,Si,Solo asi ,Mas señalamiento,2,ok
86,Masculino,71,Docente jubilado,pirulws moraled,1,"Vigilancia, educacion vial",10,Iluminación:Baches:Banquetas:Áreas públicas de esparcimiento y recreación:,10,Si,es muy lejor,Seguridad,2,ok
87,Femenino,46,obrera,soledad,7,que hubiera mas vigilancia,9,Iluminación:Baches:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Áreas de esparcimiento público:,10,No,por la inswguridad y mas que nada porque me da miedo que bvenga a la escuela y no regrese pa tras,seguridad,4,ok
88,Masculino,76,juvilado,la moderna,8,vigilancia y alunbrado ,8,Baches:,10,No,"robos de niños, asaltos",transporte escolar,4,ok
89,Masculino,31,ing de soporte ,del valle,6,iluminaciom y seguridad,10,Iluminación:Baches:Banquetas:Pasos de cebra:Rejas de alcantarillado:Otros:,10,No,por seguridad,mas seguridad y cultura social ,10,ok
90,Masculino,55,jubilado,eucaliptos campestre,8,aumentar la seguridad,5,Baches:Banquetas:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Otros:,10,No,por la inseguridad,mayor vigilancia vial y de seguridad pública,4,ok
91,Masculino,65,empleadero,las garzas,0,quitar el gobernador,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:Otros:,9,No,inseguridad,tener confianza en la seguridad,3,ok
92,Femenino,50,alimentos,tequis,7,alumbrado banquetas mejor,10,Iluminación:Banquetas:Pasos de cebra:Otros:,10,No,inseguridad,confianza en el entorno,1,ok
93,Masculino,17,lomitos,lomitos,8,nada ,5,Baches:,9,Si,es rapido,mas seguridad y confianza ,2,ok
94,Masculino,49,licenciado,tangamanga,10,la seguridad,10,Iluminación:Baches:Banquetas:,10,Si,por la cercania,no contesto,6,ok
95,Masculino,23,matematico,jardines del sur,9,mas vigilancia y autoridades ,10,Baches:Banquetas:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:,8,No,seguridad ,acompañante,4,ok
96,Masculino,61,conductor,prados ,3,la policia ,5,Iluminación:Baches:,10,No,seguridad,seguridad,4,ok
97,Femenino,63,enfermera,tequis,0,"habitos de salir a la calle, salir lo menos que pueda, mantenerse en casa",10,Iluminación:Baches:Banquetas:Pasos de cebra:Rejas de alcantarillado:,10,No,inseguridad y peligro de responsabilidad vial,mas seguridad,4,ok
98,Femenino,30,estudiante,centro historico,8,alumbrado,8,Iluminación:Áreas Verdes:Pasos a nivel:Otros:,10,No,seguridad ,mayor madures por parte del hijo y seguridad publica,3,ok
99,Femenino,40,ama de casa,estacion del rio,2,iluminacion vigilancia poste con alaemas ,10,Iluminación:Baches:Banquetas:Pasos de cebra:Rejas de alcantarillado:Otros:,7,No,distancia,seguridsd,6,ok
100,Femenino,67,ama de casa,valle dorado,10,no sabe,10,Iluminación:Baches:Banquetas:,10,Si,por la   cercanIa,seguridad,2,ok
102,Femenino,33,pedagogia,santiago,10,mas policias bueno..,10,Baches:,10,No,por mucho trafico las calles  ...un niño no puede watar nunca caminado sol,noooo,4,ok
103,Femenino,47,Estilista,Bosques de oriente,5,Respeto entre conductores,9,Iluminación:Baches:Otros:,9,No,"Por la inseguridad y hay demasiado trafico,no esta bien distribuido el espacio",Seguridad,1,ok
104,Femenino,61,Mestra,Lomad 3 seccion ,8,mas alumbrado,0,Iluminación:,8,No,Esta muy lejos ,Esta muy lejos ,6,ok
105,Masculino,50,nada,soledad,10,nada ,10,Iluminación:,10,No,seguridad ,mas vigilancia,2,ok
106,Masculino,47,abogad0,reyes,9,alumnbrad8 y vifilancia ,10,Iluminación:Otros:,10,No,por inseguridad,"seguridad, vigilancia ",6,ok
107,Femenino,47,maestra,rosedal,7,agilidad vial,10,Iluminación:Baches:Banquetas:,10,No,esta muy lejos,"vivir cerca, tener camiones ",2,ok
108,Femenino,32,mercadologa,jacarandas,3,"mas seguridad, policias",8,Iluminación:Baches:Banquetas:Otros:,10,No,inseguridad,es muy pequeño,10,ok
109,Femenino,50,ninguna,san juan de guadalupe,6,iluminacion,8,Baches:,10,No,inseguridad,vigilancia y compañerismo,4,ok
110,Masculino,51,uber,himno nacional,1,mejorar estratégias de seguridad,10,Iluminación:Baches:Áreas Verdes:,9,No,inseguridad,seguridad,10,ok
111,Masculino,25,arquitecto,librado rivera,6,educacion y servicios publicos,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:Otros:,10,Si,por la  cercania,seguridad,10,ok
112,Femenino,38,empleada administrativa,general i. martinez,5,mayor vigilancia publica a temprana hora ,8,Iluminación:Baches:,9,No,por la seguridad debido a mala iluminacion ,mayor seguridad publica,2,ok
